REP TRT WM1 WM2 WM3 WM4 WM5 WM6
1 683   0   5   0   0   0   0 
1 736  30  35   5   5  30   0 
1 628  10  40  15  10   5   0 
1 730  45 100  50  75  50  60 
1 594  25  40  40  10  30  30 
1 704  40  40   5  60  40  45 
1 703   0  10   0   3   3   0 
1 668  45  50  40  50  50 100 
1 660 120 130 140 140  60 130 
1 695  25  10   5   5  10   5 
1 680  95 150 130 110 150 100  
1 694  30  35  40  15  20  30 
1 630  10   0   0   0   5  10 
1 708 135  95 120 125 130  30 
1 696 100  10  35   5   0   5 
1 12Y  20  20  10   5   5  50 
1 13M  30  40  35  60  45  35 
2 730 100 120  45  85 110  30 
2 668 110 100 110  85 120 160 
2 736  40  50  15  55   5  10 
2 594  20  40  35  55  10  15 
2 695   0   0   0  20   5   3 
2 683  15  20  15   5   0  15 
2 680   3  20 100  10 150  10 
2 765   5   5   0   0  15   3 
2 696   5  15  70   3  90  55 
2 628  65  65  80  20  50   0 
2 13M  80   5  60  70  60  35 
2 630   0   0   5   0  10   5 
2 694  25  25  70  65  10  10 
2 704  90  15 120 120  80  70 
2 12Y  50  30  35   5  10  20 
2 708 130  60  60  70 140  70 
2 660  70 140 130 130 140 150 
2 703   0   0  10   5   0   0 
3 765   5  30   3   3   0   0  
3 594   0   5   3  10   0   5 
3 736  25  20   5  10  20   0 
3 668 130  30  90 110  70  70 
3 683   0   5  10   5  20   5 
3 695  30   0   5  20  10  20 
3 628  40  60  85 100  60  60 
3 708 130  75  95 100 100 110 
3 696  40  80  50  70   0   3 
3 13M   0  90  90  80 140 100 
3 12Y  40   5  30  30  80  25 
3 730  40  90  95 130  65  40 
3 630  55   0  50   0  55   0 
3 703   0   3   5   3   5   0 
3 694  60  80  45 140  35 120 
3 660 160 150 130 150 110  80 
3 704 130 140 140 150 150 100 
4 13M  15  40  60  35 100  70 
4 668  90 110 130  80 110  90 
4 695  30  20  50  10  20   0 
4 736   0  25   0   5   5   0 
4 730  40   0  40  70  45  10 
4 708  60 130  90 100 120  50 
4 680  65   5  55  95   5  55 
4 660 150 130 140 110  60 110 
4 683   0   5   0  15   5   0 
4 765   0   0  20  35  30   0 
4 594  40   0  45   5   0   5 
4 12Y  20  20  30  10  35  25 
4 704   0   5   0   5   0   0 
4 696   0  30  40 110  35  60 
4 630  80   5   3   0  20   0 
4 694  20 100  80  70  50  80 
4 703   5   0   0  10   0   5 
4 628   0   5  25  25  20  20 
